"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"53","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","32","Local variable 'rs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"54","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","34","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"55","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","34","Local variable 'car' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"56","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","49","Ensure that resources like this Connection object are closed after use","Design Rules","CloseResource"
"57","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","5","49","Found 'DD'-anomaly for variable 'con' (lines '49'-'50').","Controversial Rules","DataflowAnomalyAnalysis"
"58","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","5","51","Found 'DD'-anomaly for variable 'psmt' (lines '51'-'54').","Controversial Rules","DataflowAnomalyAnalysis"
"59","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","5","52","Found 'DU'-anomaly for variable 'customerList' (lines '52'-'68').","Controversial Rules","DataflowAnomalyAnalysis"
"60","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","52","Local variable 'customerList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"61","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","55","Avoid variables with short names like rs","Naming Rules","ShortVariable"
"62","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","55","Ensure that resources like this ResultSet object are closed after use","Design Rules","CloseResource"
"63","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","55","Local variable 'rs' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"64","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","57","Avoid instantiating new objects inside loops","Optimization Rules","AvoidInstantiatingObjectsInLoops"
"65","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","71","Parameter 'car' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"66","com.mindtree.dao.jdbcImpl","src/com/mindtree/dao/jdbcImpl/RentalDaoJdbcImpl.java","3","77","Parameter 'rental' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"67","com.mindtree.exception","src/com/mindtree/exception/ApplicationException.java","3","22","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"68","com.mindtree.exception","src/com/mindtree/exception/ApplicationException.java","3","22","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"69","com.mindtree.exception","src/com/mindtree/exception/ApplicationException.java","3","27","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"70","com.mindtree.exception","src/com/mindtree/exception/ApplicationException.java","3","32","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"71","com.mindtree.exception","src/com/mindtree/exception/DaoException.java","3","22","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"72","com.mindtree.exception","src/com/mindtree/exception/DaoException.java","3","22","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"73","com.mindtree.exception","src/com/mindtree/exception/DaoException.java","3","27","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"74","com.mindtree.exception","src/com/mindtree/exception/DaoException.java","3","32","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"75","com.mindtree.exception","src/com/mindtree/exception/ServiceException.java","3","22","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"76","com.mindtree.exception","src/com/mindtree/exception/ServiceException.java","3","22","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"77","com.mindtree.exception","src/com/mindtree/exception/ServiceException.java","3","27","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"78","com.mindtree.exception","src/com/mindtree/exception/ServiceException.java","3","32","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"79","com.mindtree.model","src/com/mindtree/model/Car.java","3","28","Parameter 'carId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"80","com.mindtree.model","src/com/mindtree/model/Car.java","3","40","Parameter 'registrationNo' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"81","com.mindtree.model","src/com/mindtree/model/Car.java","3","52","Parameter 'mileage' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"82","com.mindtree.model","src/com/mindtree/model/Car.java","3","64","Parameter 'category' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"83","com.mindtree.model","src/com/mindtree/model/Car.java","3","72","Avoid using final local variables, turn them into fields","Controversial Rules","AvoidFinalLocalVariable"
"84","com.mindtree.model","src/com/mindtree/model/Car.java","5","73","Found 'DD'-anomaly for variable 'result' (lines '73'-'74').","Controversial Rules","DataflowAnomalyAnalysis"
"85","com.mindtree.model","src/com/mindtree/model/Car.java","3","86","Parameter 'obj' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"86","com.mindtree.model","src/com/mindtree/model/Car.java","3","87","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"87","com.mindtree.model","src/com/mindtree/model/Car.java","3","88","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"88","com.mindtree.model","src/com/mindtree/model/Car.java","3","89","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"89","com.mindtree.model","src/com/mindtree/model/Car.java","3","90","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"90","com.mindtree.model","src/com/mindtree/model/Car.java","3","91","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"91","com.mindtree.model","src/com/mindtree/model/Car.java","3","92","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"92","com.mindtree.model","src/com/mindtree/model/Car.java","3","93","Local variable 'other' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"93","com.mindtree.model","src/com/mindtree/model/Car.java","3","94","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"94","com.mindtree.model","src/com/mindtree/model/Car.java","3","95","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"95","com.mindtree.model","src/com/mindtree/model/Car.java","3","96","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"96","com.mindtree.model","src/com/mindtree/model/Car.java","3","98","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"97","com.mindtree.model","src/com/mindtree/model/Category.java","3","5","The class 'Category' has a Cyclomatic Complexity of 2 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"98","com.mindtree.model","src/com/mindtree/model/Category.java","3","24","Parameter 'categoryId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"99","com.mindtree.model","src/com/mindtree/model/Category.java","3","36","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"100","com.mindtree.model","src/com/mindtree/model/Category.java","3","48","Parameter 'description' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"101","com.mindtree.model","src/com/mindtree/model/Category.java","3","60","Parameter 'costPerKm' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"102","com.mindtree.model","src/com/mindtree/model/Category.java","3","68","Avoid using final local variables, turn them into fields","Controversial Rules","AvoidFinalLocalVariable"
"103","com.mindtree.model","src/com/mindtree/model/Category.java","5","69","Found 'DD'-anomaly for variable 'result' (lines '69'-'70').","Controversial Rules","DataflowAnomalyAnalysis"
"104","com.mindtree.model","src/com/mindtree/model/Category.java","3","83","Parameter 'obj' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"105","com.mindtree.model","src/com/mindtree/model/Category.java","3","83","The method 'equals' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"106","com.mindtree.model","src/com/mindtree/model/Category.java","3","83","The method equals() has an NPath complexity of 512","Code Size Rules","NPathComplexity"
"107","com.mindtree.model","src/com/mindtree/model/Category.java","3","84","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"108","com.mindtree.model","src/com/mindtree/model/Category.java","3","85","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"109","com.mindtree.model","src/com/mindtree/model/Category.java","3","86","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"110","com.mindtree.model","src/com/mindtree/model/Category.java","3","87","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"111","com.mindtree.model","src/com/mindtree/model/Category.java","3","88","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"112","com.mindtree.model","src/com/mindtree/model/Category.java","3","89","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"113","com.mindtree.model","src/com/mindtree/model/Category.java","3","90","Local variable 'other' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"114","com.mindtree.model","src/com/mindtree/model/Category.java","3","91","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"115","com.mindtree.model","src/com/mindtree/model/Category.java","3","92","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"116","com.mindtree.model","src/com/mindtree/model/Category.java","3","93","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"117","com.mindtree.model","src/com/mindtree/model/Category.java","3","95","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"118","com.mindtree.model","src/com/mindtree/model/Customer.java","3","12","The class 'Customer' has a Cyclomatic Complexity of 2 (Highest = 11).","Code Size Rules","CyclomaticComplexity"
"119","com.mindtree.model","src/com/mindtree/model/Customer.java","3","18","Avoid variables with short names like id","Naming Rules","ShortVariable"
"120","com.mindtree.model","src/com/mindtree/model/Customer.java","3","30","Avoid variables with short names like id","Naming Rules","ShortVariable"
"121","com.mindtree.model","src/com/mindtree/model/Customer.java","3","30","Parameter 'id' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"122","com.mindtree.model","src/com/mindtree/model/Customer.java","3","42","Parameter 'userName' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"123","com.mindtree.model","src/com/mindtree/model/Customer.java","3","54","Parameter 'password' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"124","com.mindtree.model","src/com/mindtree/model/Customer.java","3","70","Avoid using final local variables, turn them into fields","Controversial Rules","AvoidFinalLocalVariable"
"125","com.mindtree.model","src/com/mindtree/model/Customer.java","5","71","Found 'DD'-anomaly for variable 'result' (lines '71'-'72').","Controversial Rules","DataflowAnomalyAnalysis"
"126","com.mindtree.model","src/com/mindtree/model/Customer.java","3","83","Parameter 'obj' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"127","com.mindtree.model","src/com/mindtree/model/Customer.java","3","83","The method 'equals' has a Cyclomatic Complexity of 11.","Code Size Rules","CyclomaticComplexity"
"128","com.mindtree.model","src/com/mindtree/model/Customer.java","3","83","The method equals() has an NPath complexity of 256","Code Size Rules","NPathComplexity"
"129","com.mindtree.model","src/com/mindtree/model/Customer.java","3","84","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"130","com.mindtree.model","src/com/mindtree/model/Customer.java","3","85","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"131","com.mindtree.model","src/com/mindtree/model/Customer.java","3","86","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"132","com.mindtree.model","src/com/mindtree/model/Customer.java","3","87","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"133","com.mindtree.model","src/com/mindtree/model/Customer.java","3","88","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"134","com.mindtree.model","src/com/mindtree/model/Customer.java","3","89","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"135","com.mindtree.model","src/com/mindtree/model/Customer.java","3","90","Local variable 'other' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"136","com.mindtree.model","src/com/mindtree/model/Customer.java","3","91","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"137","com.mindtree.model","src/com/mindtree/model/Customer.java","3","92","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"138","com.mindtree.model","src/com/mindtree/model/Customer.java","3","94","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"139","com.mindtree.model","src/com/mindtree/model/Customer.java","3","95","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"140","com.mindtree.model","src/com/mindtree/model/Rental.java","3","13","The class 'Rental' has a Cyclomatic Complexity of 2 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"141","com.mindtree.model","src/com/mindtree/model/Rental.java","3","34","Parameter 'rentalId' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"142","com.mindtree.model","src/com/mindtree/model/Rental.java","3","46","Parameter 'customer' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"143","com.mindtree.model","src/com/mindtree/model/Rental.java","3","58","Parameter 'car' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"144","com.mindtree.model","src/com/mindtree/model/Rental.java","3","70","Parameter 'hireDate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"145","com.mindtree.model","src/com/mindtree/model/Rental.java","3","82","Parameter 'returnDate' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"146","com.mindtree.model","src/com/mindtree/model/Rental.java","3","102","Avoid using final local variables, turn them into fields","Controversial Rules","AvoidFinalLocalVariable"
"147","com.mindtree.model","src/com/mindtree/model/Rental.java","5","103","Found 'DD'-anomaly for variable 'result' (lines '103'-'104').","Controversial Rules","DataflowAnomalyAnalysis"
"148","com.mindtree.model","src/com/mindtree/model/Rental.java","3","118","The method 'equals' has a Cyclomatic Complexity of 12.","Code Size Rules","CyclomaticComplexity"
"149","com.mindtree.model","src/com/mindtree/model/Rental.java","3","118","The method equals() has an NPath complexity of 512","Code Size Rules","NPathComplexity"
"150","com.mindtree.model","src/com/mindtree/model/Rental.java","3","119","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"151","com.mindtree.model","src/com/mindtree/model/Rental.java","3","120","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"152","com.mindtree.model","src/com/mindtree/model/Rental.java","3","121","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"153","com.mindtree.model","src/com/mindtree/model/Rental.java","3","122","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"154","com.mindtree.model","src/com/mindtree/model/Rental.java","3","123","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"155","com.mindtree.model","src/com/mindtree/model/Rental.java","3","124","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"156","com.mindtree.model","src/com/mindtree/model/Rental.java","3","125","Local variable 'other' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"157","com.mindtree.model","src/com/mindtree/model/Rental.java","3","127","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"158","com.mindtree.model","src/com/mindtree/model/Rental.java","3","128","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"159","com.mindtree.model","src/com/mindtree/model/Rental.java","3","129","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"160","com.mindtree.model","src/com/mindtree/model/Rental.java","3","130","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"161","com.mindtree.service","src/com/mindtree/service/RentalService.java","3","12","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"162","com.mindtree.service","src/com/mindtree/service/RentalService.java","3","13","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"163","com.mindtree.service","src/com/mindtree/service/RentalService.java","3","14","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"164","com.mindtree.service","src/com/mindtree/service/RentalService.java","3","15","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"165","com.mindtree.service","src/com/mindtree/service/RentalService.java","3","17","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"166","com.mindtree.service","src/com/mindtree/service/RentalServiceImpl.java","3","29","Parameter 'car' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"167","com.mindtree.service","src/com/mindtree/service/RentalServiceImpl.java","3","31","Local variable 'carDao' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
